Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
CuO,Oil,2.27,41.7,0.977,1.682,1389,1784,0.00903,2176.17697
Al2O3,Water,3.29,69.6,0.151,1.639,1996,1429,0.00901,372.1377062
SiO2,Water,3.25,48.1,2.589,1.541,3803,1264,0.00454,5384.044541
TiO2,Ethylene Glycol,3.73,85.8,1.376,0.602,1145,984,0.00619,702.5977601
TiO2,Water,3.21,74.4,2.074,1.872,3094,1821,0.00463,5982.345677
Al2O3,Ethylene Glycol,2.89,85.8,2.858,1.428,3087,1450,0.00591,5809.081164
TiO2,Oil,3,33.1,1.589,1.827,1718,1011,0.00906,2058.644943
TiO2,Propylene Glycol,4.8,21.2,2.017,1.644,1459,1855,0.00802,1904.819745
TiO2,Propylene Glycol,1.96,31.8,2.622,1.577,4128,1067,0.00977,5146.031931
ZnO,Water,4.83,49.1,0.261,0.896,1648,1662,0.00067,647.5386218
CuO,Water,2.67,74.2,2.794,0.827,2252,940,0.00532,2792.58361
TiO2,Water,1.9,41.4,2.435,1.876,2119,1116,0.00434,5891.294776
ZnO,Ethylene Glycol,2.23,70.4,2.006,0.599,3570,1497,0.00508,3384.821882
Al2O3,Water,2.71,78.3,2.142,1.329,3703,1227,0.00926,3536.990895
CuO,Oil,1.48,31.8,2.98,1.77,1984,1704,0.00356,10360.75721
TiO2,Propylene Glycol,0.54,52.1,2.418,0.627,1279,1628,0.00756,3490.532341
Al2O3,Oil,4.71,33,1.641,1.008,4278,1295,0.00124,2985.815857
SiO2,Propylene Glycol,3.8,84.5,0.555,1.658,3157,1167,0.01005,919.7482754
CuO,Water,1.78,53,2.291,1.752,2263,1696,0.00762,6227.799109
TiO2,Ethylene Glycol,3.39,39.3,0.611,1.306,1239,1275,0.00301,1125.877955
SiO2,Water,4.93,43.8,2.252,1.186,4365,1717,0.00412,2969.805074
ZnO,Oil,3.08,67.5,0.203,1.202,1023,1158,0.00187,497.3968203
Al2O3,Propylene Glycol,2.37,70.2,0.575,1.238,1413,1774,0.00524,1524.508088
Al2O3,Oil,2.07,79.1,2.318,0.883,873,994,0.00844,1750.985833
CuO,Water,3.57,31.1,2.015,1.375,929,1869,0.00572,2613.576419
TiO2,Ethylene Glycol,4.36,46.7,2.974,1.183,1663,1022,0.00805,1696.90347
TiO2,Water,0.96,38.9,2.484,0.712,821,1399,0.00475,3178.251694
SiO2,Propylene Glycol,0.64,80.2,0.922,1.553,2198,1214,0.00663,2723.028818
SiO2,Water,4.78,38.1,2.781,1.34,1973,1222,0.00558,2029.596017
ZnO,Propylene Glycol,4.26,33,1.778,1.175,1263,985,0.00882,979.0218911
TiO2,Water,0.63,63.7,2.31,1.467,1389,1340,0.00854,4611.842879
SiO2,Ethylene Glycol,1.73,61.2,2.757,1.132,2897,1066,0.00973,3905.462272
Al2O3,Propylene Glycol,4.02,25.5,1.88,1.889,1627,1714,0.00469,3295.023193
ZnO,Ethylene Glycol,2.81,77.3,2.361,1.321,1312,1695,0.00454,4274.784838
Al2O3,Water,1.05,71.3,1.364,1.637,2726,1414,0.00608,4781.068437
TiO2,Propylene Glycol,4.62,49.4,1.649,1.083,1365,1542,0.0011,2363.687948
CuO,Oil,0.75,48.2,1.865,1.423,2435,1663,0.00972,5289.179248
Al2O3,Oil,2.75,30.3,0.409,1.498,2117,1899,0.00309,1829.85449
TiO2,Oil,0.64,83.7,2.47,0.662,4199,1710,0.00699,6213.929345
ZnO,Water,1.69,84,1.289,1.905,2214,1365,0.00797,3506.597377
Al2O3,Oil,3.08,82.6,2.233,1.419,847,1811,0.00681,2967.537536
Al2O3,Propylene Glycol,1.15,44,1.046,1.791,3389,1664,0.00467,5376.943478
SiO2,Oil,4.68,25.1,1.846,1.607,2723,939,0.00101,3083.147077
CuO,Oil,4.51,41,2.428,2,4164,1092,0.00819,2707.172279
Al2O3,Oil,4.41,23,0.404,1.579,2906,1662,0.00066,1974.841759
SiO2,Oil,1.54,56.7,0.606,1.984,3105,1220,0.00427,2722.020458
TiO2,Water,4.95,40,2.148,1.659,2037,1413,0.00608,1910.951909
ZnO,Ethylene Glycol,0.6,26.7,2.553,1.864,3981,1629,0.00529,12415.54615
Al2O3,Propylene Glycol,2.52,28.4,0.915,1.168,4346,1423,0.00796,2307.437785
SiO2,Ethylene Glycol,4.84,75.5,1.557,0.752,2899,1748,0.00854,1078.438595
ZnO,Oil,3.75,74.4,1.312,1.92,3744,1411,0.00065,7196.825372
TiO2,Ethylene Glycol,0.42,44,1.7,1.165,3916,1070,0.0009,10162.99912
ZnO,Propylene Glycol,4.03,76,2.379,1.477,2636,1227,0.00593,2907.491506
CuO,Propylene Glycol,3.32,50.2,2.051,0.706,4034,975,0.00875,1783.536255
ZnO,Ethylene Glycol,1.07,22.8,1.84,1.425,4398,1769,0.00718,7529.347041
CuO,Water,1.93,89.3,1.083,0.665,3059,1418,0.0084,1841.892178
ZnO,Water,3.4,43.7,2.851,1.637,1512,1873,0.00141,8882.82604
TiO2,Propylene Glycol,0.12,51.6,0.493,0.735,3742,1003,0.00977,1078.867855
ZnO,Propylene Glycol,4.73,64.4,0.482,1.85,1925,1573,0.00352,901.9962059
CuO,Oil,1.36,24.6,1.266,1.176,2846,1483,0.00656,3539.978962
ZnO,Water,0.46,27,1.84,0.757,2192,1715,0.0025,6386.825018
TiO2,Oil,4.88,81.7,2.135,1.909,1716,941,0.0018,2340.089727
CuO,Water,3.61,61.7,2.432,1.419,3336,1459,0.00061,10144.70216
ZnO,Water,3.88,50.7,0.374,1.647,1086,1745,0.00322,876.9218905
CuO,Propylene Glycol,2.65,46,3.002,0.657,2127,940,0.0083,2008.945727
CuO,Oil,4.34,54.5,0.101,0.716,855,912,0.00061,165.7045112
ZnO,Ethylene Glycol,4.18,46,1.638,0.658,1299,1421,0.00179,1720.769325
SiO2,Propylene Glycol,4.2,27.9,0.132,1.071,4120,1649,0.00792,289.5509852
TiO2,Ethylene Glycol,3.4,89,1.783,1.743,1105,984,0.00591,1853.518686
Al2O3,Oil,1.18,41.4,2.267,1.964,3337,1419,0.0038,10029.87541
ZnO,Ethylene Glycol,0.28,71.1,0.617,1.918,1354,963,0.0095,1474.720363
CuO,Water,1.53,76.6,2.988,0.672,2836,1757,0.0015,10010.16289
CuO,Oil,4.51,69.9,0.278,1.895,2723,1733,0.00241,966.3059359
ZnO,Oil,2.96,64,2.94,1.405,2546,1291,0.00787,4221.206983
TiO2,Water,3.87,29.9,2.081,1.637,4430,1197,0.00888,3003.355592
CuO,Water,2.7,68,0.122,1.91,2996,1960,0.0056,694.9133562
TiO2,Oil,2.49,36.8,2.497,1.907,4152,1183,0.00443,7155.40396
ZnO,Water,1.94,44,2.93,1.815,2744,1201,0.00898,5723.90358
SiO2,Oil,4.78,49.4,2.732,1.276,2559,1664,0.00498,2853.792764
SiO2,Oil,0.35,66.6,1.838,0.86,2772,1332,0.00645,4248.606488
ZnO,Ethylene Glycol,2.15,38.3,2.551,1.211,900,1168,0.00142,5096.123345
ZnO,Propylene Glycol,1.75,40.2,0.629,1.237,4017,1566,0.00698,2258.563512
TiO2,Water,4.46,53.4,2.821,1.61,2332,1425,0.00349,3898.042203
ZnO,Propylene Glycol,3.02,40.7,2.53,0.882,1863,1609,0.00518,3536.603272
TiO2,Ethylene Glycol,4.01,86.5,0.151,1.526,3232,1443,0.0069,377.0495702
ZnO,Water,0.88,41.7,0.882,1.825,3273,1736,0.00771,4144.893558
ZnO,Oil,4.41,83.7,2.09,0.845,3345,1804,0.00438,2631.611712
TiO2,Water,4.19,22,0.568,0.982,1554,1658,0.00272,956.754272
CuO,Ethylene Glycol,1.86,75.4,1.119,1.463,1332,1019,0.00152,3299.091393
SiO2,Oil,0.35,85.1,2.652,1.753,3033,1872,0.00428,13989.55114
SiO2,Ethylene Glycol,3.04,38,0.474,1.844,1593,1621,0.00587,1299.565411
Al2O3,Propylene Glycol,3.77,46.7,0.778,1.726,1101,1713,0.00058,3179.740784
Al2O3,Water,2.49,74.5,0.319,1.374,1589,1592,0.00741,810.5928136
Al2O3,Water,3.42,88.7,0.322,1.254,4381,1250,0.00439,867.8299899
ZnO,Oil,0.9,42.9,2.494,0.652,3905,1260,0.00133,8927.994058
CuO,Oil,3.1,49.9,2.432,1.176,3936,1852,0.00245,8048.044775
SiO2,Oil,2.97,33.3,0.903,1.834,2533,1584,0.00518,2730.877698
Al2O3,Ethylene Glycol,3.27,54.9,0.202,1.596,4119,1027,0.0047,624.1075307
ZnO,Oil,0.93,82.9,2.887,0.949,3537,1697,0.00639,8165.326523
TiO2,Water,0.98,67.7,2.836,0.69,3401,1714,0.00543,6707.848698
Al2O3,Ethylene Glycol,4.87,35,2.746,0.648,3535,1631,0.0015,3301.803021
TiO2,Propylene Glycol,2.38,86,0.798,0.625,3976,1668,0.00907,1456.596615
ZnO,Propylene Glycol,2.25,33.5,1.801,1.802,2556,1799,0.00837,5105.227246
TiO2,Ethylene Glycol,2.21,80.8,2.813,1.969,3786,1857,0.00099,21675.55753
ZnO,Water,1.99,57.3,0.368,1.089,1381,1839,0.00223,1514.095695
CuO,Ethylene Glycol,2.7,39.6,1.884,1.696,4285,1308,0.00489,5468.661029
TiO2,Water,2.89,58.2,0.732,1.699,2045,1177,0.00596,1529.450021
Al2O3,Oil,0.76,40,2.061,1.185,2573,1775,0.00535,6966.865255
CuO,Water,3.26,55,0.689,1.512,1374,936,0.00471,963.6753485
SiO2,Ethylene Glycol,2.44,37.5,1.62,1.869,2761,1391,0.00204,6839.93053
SiO2,Water,3.52,56.8,2.306,0.993,2839,1729,0.00488,3953.825888
ZnO,Oil,2.12,70.5,2.649,1.103,2423,985,0.00841,3189.18767
SiO2,Water,4.14,20.8,1.564,1.315,1630,1171,0.00243,2114.519918
Al2O3,Ethylene Glycol,0.6,71,0.984,0.978,1057,1014,0.00685,1452.943139
CuO,Oil,4.6,72.9,0.432,1.9,3705,1198,0.00975,630.2840245
Al2O3,Water,1.04,86.7,0.395,1.528,4086,970,0.0089,1233.170474
TiO2,Oil,4.32,67.6,2.813,1.713,3841,1468,0.00876,3778.634172
CuO,Water,2.37,25.1,1.579,0.708,2232,1077,0.00147,3223.001122
Al2O3,Oil,4.3,71,1.989,1.154,849,1171,0.00402,1407.17557
TiO2,Propylene Glycol,0.68,45.1,0.324,0.639,3893,1078,0.00242,1195.681186
SiO2,Oil,3.54,65.6,2.5,1.236,1004,1596,0.0051,2897.24608
Al2O3,Propylene Glycol,0.78,40.4,2.271,1.541,4478,1153,0.00192,11784.21271
TiO2,Water,0.11,88.7,2.605,1.227,1579,1750,0.00331,9615.403819
CuO,Water,2.12,42.9,0.745,1.2,2619,1864,0.00923,2097.577567
CuO,Ethylene Glycol,0.51,62.3,0.262,0.692,2265,1874,0.00456,1060.680466
CuO,Propylene Glycol,1.46,21.8,1.601,1.654,1424,1487,0.00475,4500.523604
ZnO,Water,1.97,76.7,2.464,0.854,2734,1806,0.00268,7171.804549
SiO2,Oil,3.38,89,0.212,2.033,1665,1070,0.00903,396.052358
Al2O3,Propylene Glycol,3.16,52.7,2.297,1.9,2360,1152,0.00183,6018.484529
TiO2,Water,0.87,81.7,1.063,0.828,3631,1968,0.0078,3511.763704
SiO2,Ethylene Glycol,1.07,43,0.886,1.982,1756,1852,0.00478,4295.905212
Al2O3,Oil,1.01,32.7,2.483,0.85,848,1772,0.00733,3554.262692
TiO2,Ethylene Glycol,2.52,53.7,1.145,1.495,2124,1195,0.00503,2418.365342
ZnO,Water,3.95,73.7,1.281,1.412,4100,1765,0.00135,5176.616634
CuO,Ethylene Glycol,1.77,45.9,0.466,1.445,1225,1486,0.00412,1486.26945
Al2O3,Propylene Glycol,3.04,20.6,2.586,0.715,2669,1718,0.00975,2991.874981
ZnO,Oil,3.86,77.6,1.83,0.652,2114,1266,0.00538,1480.555595
Al2O3,Ethylene Glycol,2.3,42.9,2.429,1.271,1743,1847,0.00981,4042.533647
CuO,Water,1.73,26.2,2.113,0.696,3178,1476,0.00256,5239.129137
SiO2,Propylene Glycol,3.76,29.1,1.438,1.275,1771,1941,0.00246,3341.803263
Al2O3,Ethylene Glycol,3.8,88.2,1.873,1.112,3740,1585,0.0097,2505.801179
Al2O3,Oil,2.14,33.4,1.597,1.093,1109,1681,0.00539,2889.764845
CuO,Propylene Glycol,4.34,88.1,1.835,1.119,897,1504,0.00095,2742.647146
TiO2,Ethylene Glycol,4.46,45.7,1.162,0.957,3011,1833,0.00907,1313.442844
SiO2,Propylene Glycol,3.04,46.2,1.749,1.772,2649,920,0.0056,2765.072747
Al2O3,Propylene Glycol,2.92,21.9,1.373,1.217,2950,1903,0.00595,3482.045835
TiO2,Oil,2.73,22.3,1.545,1.758,2997,1491,0.00686,3853.139646
Al2O3,Ethylene Glycol,4.69,48.8,0.234,1.117,1891,1636,0.00904,268.3917181
SiO2,Propylene Glycol,0.2,66.2,2.342,1.377,3682,1525,0.00118,16537.9645
Al2O3,Propylene Glycol,3.85,87.5,0.748,0.998,3100,1231,0.00438,1177.236374
TiO2,Oil,0.66,38.7,0.301,0.616,1452,1284,0.00062,1527.337362
Al2O3,Propylene Glycol,3.27,76.6,1.688,0.621,4457,1570,0.00082,5520.508222
SiO2,Propylene Glycol,4.38,67.8,1.213,0.876,1050,923,0.00345,735.5475483
Al2O3,Ethylene Glycol,2.94,51.6,0.809,1.686,3443,1320,0.00954,1811.101835
ZnO,Ethylene Glycol,0.89,22.9,0.682,1.14,3564,930,0.00683,1682.809994
CuO,Oil,2.84,84.7,1.504,1.506,2457,1801,0.00504,4162.404541
CuO,Oil,0.28,73,2.585,1.012,2458,1136,0.00728,5109.10941
ZnO,Propylene Glycol,1.74,44.4,1.01,1.301,2438,1118,0.00611,2237.535453
SiO2,Ethylene Glycol,3.35,52.7,1.02,1.399,3984,1702,0.00849,2355.435746
CuO,Ethylene Glycol,3.31,51.5,2.907,0.696,1219,1390,0.00419,2614.705799
Al2O3,Water,4.95,42.7,0.545,0.888,1969,948,0.00516,336.4492327
ZnO,Propylene Glycol,2.4,30.6,0.193,0.711,2363,1518,0.00903,382.1022875
ZnO,Propylene Glycol,2.19,28.9,0.171,0.99,2477,1378,0.00687,477.6346624
TiO2,Oil,0.96,28,0.32,1.924,1759,2031,0.00328,2320.113419
Al2O3,Propylene Glycol,4.63,20.2,0.119,1.976,1423,1298,0.00558,205.2267101
CuO,Oil,0.27,68.7,2.02,0.933,3003,1286,0.00107,10441.0735
CuO,Water,2.98,46.8,2.502,1.742,1193,1977,0.0017,8165.304978
TiO2,Propylene Glycol,2.2,60.7,1.47,0.771,1269,1518,0.00945,1672.008979
ZnO,Oil,2.62,57.7,1.181,1.263,1423,992,0.0024,2190.964386
Al2O3,Ethylene Glycol,2.92,21.4,2.798,1.643,3156,1402,0.00185,9461.672524
ZnO,Propylene Glycol,4.65,70.6,0.941,0.614,1539,1806,0.00809,579.7623648
CuO,Oil,3.32,50.5,1.905,1.796,2865,1938,0.00426,5903.934136
Al2O3,Propylene Glycol,1.85,69.2,1.525,0.624,4284,1741,0.00374,4353.189835
Al2O3,Water,0.62,72.6,0.89,1.123,1081,1774,0.00264,3283.788086
ZnO,Water,2.49,75.3,0.936,1.093,1752,897,0.00945,990.4231135
ZnO,Oil,2.57,54.5,0.882,1.835,1283,1732,0.00126,4353.17253
SiO2,Propylene Glycol,2.85,26,1.109,0.951,3388,1203,0.00108,3894.458066
Al2O3,Water,3.51,72,2.681,0.974,913,1027,0.00721,1577.901092
CuO,Ethylene Glycol,2.44,87.4,1.973,0.904,3121,973,0.00989,2129.974819
ZnO,Water,3.92,43.3,0.248,0.608,1679,1450,0.00918,231.0144954
CuO,Propylene Glycol,0.51,29.4,2.811,0.924,3092,1266,0.00516,6945.512712
ZnO,Oil,0.45,90.8,1.521,1.903,1040,1183,0.00098,7550.209415
ZnO,Ethylene Glycol,0.62,43.9,0.371,1.24,3457,1398,0.00863,1441.598187
Al2O3,Propylene Glycol,4.83,54.4,2.797,1.505,2568,1977,0.00128,6135.479482
SiO2,Propylene Glycol,4.03,52.9,1.648,1.056,2933,1039,0.00939,1350.403653
ZnO,Ethylene Glycol,4.17,48.8,2.66,1.019,3715,1111,0.00999,2124.581129
ZnO,Ethylene Glycol,2.56,30.6,0.23,1.051,3377,920,0.00983,408.1820552
TiO2,Propylene Glycol,4.1,66.6,2.093,1.98,1920,1690,0.00371,4226.617094
ZnO,Water,1.12,76,0.218,1.438,4378,1971,0.00442,1813.035995
Al2O3,Oil,4.24,47.3,0.376,1.411,2838,1867,0.00137,1547.921017
TiO2,Water,0.39,83.8,2.781,1.297,3263,1530,0.00489,10288.37216
Al2O3,Water,2.33,59.4,0.694,0.713,3628,1636,0.00209,2432.3749
TiO2,Oil,0.82,83.1,2.4,0.895,4480,1577,0.00598,7187.761185
CuO,Water,4.92,32.5,0.445,1.49,1882,1877,0.00109,1204.685088
Al2O3,Ethylene Glycol,4.55,75.9,1.055,0.652,3931,1237,0.00599,875.7456414
TiO2,Water,1.62,46.3,1.695,0.966,4008,1071,0.00933,2906.961692
SiO2,Ethylene Glycol,1.03,49.3,1.978,1.254,3184,1401,0.00516,6175.150277
SiO2,Propylene Glycol,0.95,86.6,2.776,1.089,1663,1739,0.00715,5995.977218
SiO2,Ethylene Glycol,4.18,63.7,0.793,1.759,1144,1556,0.00523,1138.494397
ZnO,Oil,2.72,59.1,0.213,1.101,3776,1991,0.00564,899.9744495
ZnO,Propylene Glycol,0.48,32.5,0.582,1.552,1233,1839,0.00279,3119.044844
TiO2,Oil,2.78,39.6,2.024,1.163,2125,1098,0.00644,2459.26125
Al2O3,Oil,0.7,71.6,0.256,1.751,2029,1858,0.00198,2409.869777
SiO2,Propylene Glycol,1.68,38,1.194,1.839,2679,1764,0.00768,4355.992331
Al2O3,Ethylene Glycol,2.13,56.1,1.564,1.056,1888,1593,0.00549,3215.134166
Al2O3,Ethylene Glycol,4.82,66.9,1.387,1.694,3870,1347,0.00333,2295.144994
CuO,Propylene Glycol,4.9,33.7,2.243,1.953,3164,1184,0.00817,1887.487652
CuO,Ethylene Glycol,4.68,78.7,0.591,0.669,980,1440,0.0022,505.964753
CuO,Water,1.52,58.6,2.007,1.736,1165,1667,0.00865,4097.119944
SiO2,Ethylene Glycol,3.17,21.5,0.304,0.862,4080,1417,0.0049,790.0765553
ZnO,Ethylene Glycol,2.66,59.9,2.153,1.396,2176,1087,0.00127,6102.242489
SiO2,Propylene Glycol,3.43,77.8,1.696,1.066,3232,1767,0.00864,2781.652631
SiO2,Water,4.9,24.5,2.626,1.453,2294,1478,0.00673,2112.773632
TiO2,Ethylene Glycol,4.46,82.8,0.857,0.724,3782,1974,0.00984,964.2890851
SiO2,Oil,0.82,53,0.824,1.484,3766,1764,0.00732,3925.722806
TiO2,Ethylene Glycol,1.48,56.4,2.088,1.643,3518,1071,0.00712,5124.042888
Al2O3,Propylene Glycol,1.54,28.6,0.396,0.959,3057,1652,0.00359,1713.026716
ZnO,Ethylene Glycol,3.95,50.8,2.141,0.607,3440,990,0.00914,1258.584546
TiO2,Ethylene Glycol,1.45,74.5,1.759,1.731,3318,1246,0.0085,4802.254807
SiO2,Propylene Glycol,1.48,63.6,1.746,1.978,3330,974,0.00279,6555.949955
ZnO,Oil,4.21,48.1,0.601,1.811,4167,1563,0.00648,1367.184633
ZnO,Oil,4.97,81.7,0.406,1.957,2211,1343,0.00726,499.9516858
TiO2,Water,0.48,66.2,2.525,1.895,2960,1770,0.00454,12801.73938
Al2O3,Oil,4.82,24.5,0.204,1.668,3280,1414,0.00278,497.3494013
CuO,Water,4.33,23,0.852,1.522,3771,1366,0.0079,1281.456859
CuO,Water,1.73,29,1.703,1,1417,1373,0.00973,2328.943618
SiO2,Oil,4.7,60.5,1.106,0.954,2671,1831,0.00133,2183.107843
ZnO,Water,2.41,63.9,2.477,1.476,1922,1130,0.00769,3572.546769
ZnO,Propylene Glycol,3.6,41.5,0.264,1.872,3915,1694,0.00541,1051.689568
ZnO,Oil,3.28,81.7,0.407,1.672,2983,1523,0.00561,1215.747574
SiO2,Water,4.81,38.6,0.436,1.704,3941,1813,0.00327,1194.617264
CuO,Propylene Glycol,1.31,77.4,0.41,1.85,3696,1615,0.00149,4018.691839
CuO,Water,1.71,41.6,2.459,1.78,4359,1403,0.00282,11640.72155
SiO2,Propylene Glycol,2.45,79.6,2.639,1.132,2363,1852,0.00438,6519.245629
Al2O3,Ethylene Glycol,1.4,79.3,2.034,1.083,4365,1084,0.00357,5443.506398
ZnO,Propylene Glycol,2.4,64.2,1.451,0.854,3998,1869,0.00336,4786.775119
TiO2,Water,1.61,51.5,0.964,1.503,2118,1394,0.00186,4397.28472
ZnO,Ethylene Glycol,3.82,47.5,0.886,1.664,1504,1957,0.00532,1837.951847
ZnO,Oil,0.28,39.6,2.596,1.057,3150,1116,0.00163,10302.28381
Al2O3,Oil,2.79,34.2,2.23,0.724,2673,1583,0.00349,4021.250406
SiO2,Propylene Glycol,0.35,84.5,2.494,1.209,1782,917,0.00937,3431.943308
CuO,Ethylene Glycol,0.37,39.7,2.126,1.339,4066,929,0.00397,6520.535517
Al2O3,Oil,0.56,23.7,2.295,0.623,1067,1205,0.00305,3613.942013
SiO2,Oil,2.59,63.5,1.186,1.939,3440,1522,0.00255,5201.040532
CuO,Water,0.99,76.3,2.728,1.201,1343,1095,0.00812,3787.967404
Al2O3,Water,3.65,54.4,2.638,1.851,1575,1763,0.00364,5586.061108
Al2O3,Oil,4.33,22.8,2.839,1.847,1441,1712,0.00204,5452.773119
CuO,Oil,3.04,35.1,1.19,1.803,4580,995,0.00146,4762.049657
TiO2,Propylene Glycol,4.86,39.4,2.837,1.431,1159,1803,0.00345,2553.679839
Al2O3,Propylene Glycol,2.9,84.6,2.492,0.669,1148,1211,0.0053,1942.074687
Al2O3,Oil,2.57,40.9,1.805,1.55,4553,1757,0.00258,8518.689551
SiO2,Water,0.45,83.1,2.722,1.741,4437,1246,0.00848,9197.83098
Al2O3,Oil,0.37,84.8,1.436,1.94,3496,1017,0.00183,7937.940453
CuO,Ethylene Glycol,0.96,31.6,1.851,0.848,4188,1618,0.00061,13970.33495
CuO,Water,4.3,82.3,0.409,1.442,942,1879,0.00843,473.8787373
TiO2,Propylene Glycol,3.75,54.3,0.749,1.003,2339,1271,0.00317,1286.408235
SiO2,Water,1.55,74.2,1.213,1.15,4419,1309,0.00071,8127.768935
CuO,Propylene Glycol,2.66,89.2,0.513,0.816,2048,1373,0.00459,973.7111972
TiO2,Oil,1.38,71.8,2.461,1.658,4249,1918,0.0045,12246.73044
CuO,Oil,2.18,53.6,2.832,1.706,1083,1586,0.00611,5148.120468
ZnO,Propylene Glycol,2.57,59.6,1.527,1.36,4095,1365,0.00993,3103.36227
TiO2,Ethylene Glycol,1.75,38,0.324,1.898,1249,1296,0.00938,797.2259619
TiO2,Oil,1.79,77,1.654,1.38,2643,1123,0.00729,3343.885259
SiO2,Ethylene Glycol,2.36,35.6,1.175,1.946,3729,2002,0.00508,5660.515054
ZnO,Water,1.32,70.6,1.711,1.555,3753,1922,0.00915,6483.262633
Al2O3,Ethylene Glycol,4.95,65.1,2.948,1.038,3764,1346,0.00252,3221.201818
CuO,Propylene Glycol,0.23,51.1,1.87,0.912,2495,1063,0.00271,5076.372733
Al2O3,Water,1.69,68.5,1.798,1.268,3929,1228,0.00396,5568.855754
SiO2,Oil,3.69,42.3,1.297,0.828,1515,1098,0.00696,999.1222671
TiO2,Propylene Glycol,4.96,58.4,0.483,1.442,1726,975,0.00814,323.0858183
Al2O3,Ethylene Glycol,1.98,89.5,0.583,1.138,1573,1677,0.0016,2467.777761
TiO2,Oil,4.7,33.4,1.262,1.773,1621,1150,0.00876,923.0670675
CuO,Oil,2.18,57.2,2.954,1.875,4464,1545,0.00531,10038.20785
CuO,Ethylene Glycol,3.79,81,0.635,1.074,3289,1616,0.00181,1989.157792
ZnO,Water,0.6,40.5,1.107,0.8,1214,1281,0.0061,1851.91636
Al2O3,Ethylene Glycol,2.22,84.7,2.662,1.619,1931,1084,0.00648,4296.025456
SiO2,Oil,1.28,79.1,0.968,1.621,1659,951,0.00163,3563.692282
CuO,Propylene Glycol,0.79,47,0.667,0.61,3875,1341,0.0036,2127.97246
CuO,Water,4.98,51.5,1.19,0.947,1763,1636,0.00736,792.8831779
CuO,Oil,3,54.6,1.692,0.851,3593,1622,0.00594,3074.618467
TiO2,Ethylene Glycol,2.01,59.3,2.621,1.593,3289,1769,0.00963,7029.54277
ZnO,Oil,1.47,50.2,1.436,1.658,1109,1377,0.00481,3393.902426
TiO2,Propylene Glycol,4.95,46.5,2.676,0.992,2769,1104,0.00613,1492.176199
CuO,Propylene Glycol,1.61,68,2.768,1.95,1188,1881,0.00813,6647.8071
ZnO,Water,4.16,77.8,2.754,1.527,4312,1319,0.00662,3674.481741
ZnO,Ethylene Glycol,2.73,89.3,2.107,0.726,1128,994,0.0019,2311.782951
ZnO,Water,2.27,35.8,1.71,1.799,2076,1110,0.00333,4306.22243
SiO2,Water,0.89,30.7,2.077,1.317,4332,1552,0.00618,7616.383837
CuO,Water,0.42,42.6,1.083,1.301,1873,1229,0.00656,2852.991074
SiO2,Oil,3.23,38.5,0.821,1.72,1216,1083,0.00148,2058.767461
Al2O3,Ethylene Glycol,3.7,65.6,2.976,0.76,1255,916,0.00534,1603.207376
Al2O3,Propylene Glycol,3.04,62.6,0.749,1.639,3806,1038,0.00801,1484.30465
Al2O3,Ethylene Glycol,1.36,39.1,0.232,1.692,4522,1006,0.00137,1761.840548
SiO2,Propylene Glycol,1.67,73.1,1.671,1.072,3628,1113,0.00707,3331.832261
TiO2,Water,1.7,21.1,1.121,0.726,3537,1265,0.00849,2022.425534
Al2O3,Water,4.5,70.4,1.411,1.157,841,1965,0.00776,1077.675818
CuO,Oil,1.03,38.9,0.827,1.319,1764,1936,0.00847,2613.494578
TiO2,Ethylene Glycol,2.31,21.2,2.012,1.762,3784,1339,0.00391,6871.737889
Al2O3,Ethylene Glycol,2.56,41.6,2.557,0.854,4424,1115,0.00225,5755.03314
SiO2,Oil,4.93,54.1,1.079,1.288,1291,1407,0.00422,909.974301
TiO2,Water,2.87,73.9,0.356,1.676,4168,1455,0.00458,1502.265923
TiO2,Propylene Glycol,3.5,80.6,1.317,1.216,878,1964,0.00184,2906.129171
ZnO,Propylene Glycol,2.32,23.9,0.554,1.543,3626,1604,0.0095,1744.844872
CuO,Ethylene Glycol,1.92,81.4,0.235,0.982,1584,1919,0.00666,726.553649
ZnO,Propylene Glycol,2.4,48.8,0.863,1.533,2734,1473,0.00105,4836.213077
SiO2,Oil,0.74,69.6,2.133,1.481,3941,1791,0.00672,9004.146291
CuO,Oil,4.66,22.2,0.434,0.84,3544,1011,0.00812,341.1600475
ZnO,Water,2.23,66.5,2.108,1.38,3150,1643,0.00777,5240.9801
ZnO,Ethylene Glycol,2.54,38,2.228,1.205,3426,1176,0.00371,5023.280806
ZnO,Oil,1.83,54.4,1.351,1.839,3513,1685,0.00552,5743.917005
SiO2,Water,1.49,25.7,0.945,0.894,1702,1391,0.00593,1822.762453
ZnO,Ethylene Glycol,4.31,56.3,0.132,1.301,3869,1932,0.00741,358.658691
TiO2,Ethylene Glycol,0.13,87.3,0.846,0.708,909,1820,0.00911,1477.537425
ZnO,Ethylene Glycol,2.37,74.3,2.342,0.664,4315,1196,0.00578,3502.851829
CuO,Ethylene Glycol,2.68,61.5,2.844,1.28,3966,1265,0.00187,9016.144145
CuO,Oil,0.52,69.9,2.817,1.126,1679,1754,0.00201,11218.38832
